"a1" "b1" "a2" "b2"
"1" 3 1 5 8
"2" 4 1.5 6 10
"3" 5 2 7 12
"4" 6 2.5 8 14
"5" 7 3 9 16
"6" 3 2 5 8
"7" 4 3 6 10
"8" 5 4 7 12
"9" 6 5 8 14
"10" 7 6 9 16
"11" 3 1 6 10
"12" 4 1.5 7 12
"13" 5 2 8 14
"14" 6 2.5 9 16
"15" 7 3 10 18
"16" 3 2 6 10
"17" 4 3 7 12
"18" 5 4 8 14
"19" 6 5 9 16
"20" 7 6 10 18
"21" 3 1 5 12
"22" 4 1.5 6 15
"23" 5 2 7 18
"24" 6 2.5 8 21
"25" 7 3 9 24
"26" 3 2 5 12
"27" 4 3 6 15
"28" 5 4 7 18
"29" 6 5 8 21
"30" 7 6 9 24
"31" 3 1 6 15
"32" 4 1.5 7 18
"33" 5 2 8 21
"34" 6 2.5 9 24
"35" 7 3 10 27
"36" 3 2 6 15
"37" 4 3 7 18
"38" 5 4 8 21
"39" 6 5 9 24
"40" 7 6 10 27
"41" 3 1 5 16
"42" 4 1.5 6 20
"43" 5 2 7 24
"44" 6 2.5 8 28
"45" 7 3 9 32
"46" 3 2 5 16
"47" 4 3 6 20
"48" 5 4 7 24
"49" 6 5 8 28
"50" 7 6 9 32
"51" 3 1 6 20
"52" 4 1.5 7 24
"53" 5 2 8 28
"54" 6 2.5 9 32
"55" 7 3 10 36
"56" 3 2 6 20
"57" 4 3 7 24
"58" 5 4 8 28
"59" 6 5 9 32
"60" 7 6 10 36
