"V1" "V2"
"1" -0.41913961 0.49923216
"2" 0.52241147 0.089385
"3" 0.54658918 0.58774594
"4" 1 0.62242613
"5" 0.11068067 -0.55699711
"6" -0.63585868 0.02367257
"7" 1 -0.43880556
"8" -0.61610031 -0.614178446
"9" 0.538291392 0.10936176
"10" -0.667300617 -0.004176257
"11" -0.663678135 0.662125919
"12" 0.11581735 -0.5529354
"13" 0.650670935 0.610034204
"14" -0.318359592 0.335576091
"15" -0.51212787 0.52830009
"16" 1 0.62155145
"17" 0.52812882 0.09201599
"18" -0.0196727 0.72246956
"19" 0.54384275 0.58261907
"20" 0.11172897 -0.55765642
"21" -0.6313965 0.02918632
"22" -0.62144737 -0.61980206
"23" -0.65558509 0.02882578
"24" 1 0.6330583
"25" 0.08284237 -0.61786956
"26" 1 -0.45402684
"27" -0.48525641 0.54285565
"28" 0.58280458 0.45166495
"29" -0.68097116 1
"30" 1 -0.45821322
"31" 0.59276294 0.42325304
"32" -0.47206308 0.3941612
"33" 1 0.635682
"34" 0.18964718 -0.10273578
"35" 0.04913824 -0.63005725
"36" -0.73075674 -0.79609587
"37" -0.66081973 0.08825107
"38" 0.95582573 -0.42390274
"39" -0.14077187 0.75698921
"40" 0.34971601 -0.51710858
"41" -0.4157386 0.41005832
"42" 0.46113792 0.49214578
"43" -0.61735487 -0.61086509
"44" -0.49606314 0.15413115
"45" 0.21869431 -0.10201223
"46" -0.03419613 0.70893821
"47" 0.06361751 -0.61382853
"48" -0.61841311 0.63483175
"49" 1 -0.4407705
"50" -0.61358666 -0.61166843
"51" -0.48903662 0.30333197
"52" 1 -0.16811142
"53" 0.65940576 0.5863903
"54" -0.02441417 0.72159759
"55" 1 -0.59012324
"56" 0.18081211 -0.16807933
"57" 0.0450702 -0.62539944
"58" 1 -0.49582101
"59" 0.19683895 -0.12024086
"60" 0.62865659 0.56380727
"61" -0.02394387 0.71921717
"62" -0.46729091 0.3051703
"63" -0.61863034 -0.61176188
"64" -0.66877249 -0.01317387
"65" 0.53901082 0.11236801
"66" -0.31807769 0.34699386
"67" 0.67163759 0.626162
"68" 0.10384576 -0.56444991
"69" 1 -0.49593843
"70" -0.6700868 0.67261295
"71" -0.6408531 -0.6280855
"72" 0.2701813 -0.5788246
"73" 1 -0.5086483
"74" -0.4444336 0.423104
"75" 0.6298702 0.5773629
"76" -0.1332004 -0.6574198
"77" 0.1900516 -0.1115984
"78" -0.42615901 0.20758698
"79" -0.01448793 0.72491408
"80" 0.66986689 -0.7475392
"81" 0.63019107 0.57675376
"82" -0.61840554 -0.61521992
"83" -0.64395269 0.64982103
"84" 0.1179671 -0.55340478
"85" -0.654770308 -0.651387527
"86" -0.664752558 0.671725756
"87" -1 -0.002088322
"88" 1 -0.589472666
"89" -0.365981144 0.26066717
"90" 0.105788084 -0.573717138
"91" 1 -0.167939435
"92" -0.61753985 -0.6146836
"93" 0.05211898 -0.618118
"94" -0.63962799 0.02412092
"95" 0.62293559 0.56509631
"96" -0.41571177 0.4920688
"97" 0.19650321 -0.11717055
"98" 1 -0.47533393
"99" -0.6423648 0.64442818
"100" -0.679998 -0.01855515
"101" 0.11253344 -0.5543081
"102" 1 -0.4734617
"103" -0.02314025 0.71859116
"104" 0.6213567 0.56338509
"105" -0.31628937 0.27689431
"106" -0.76970892 -0.75066939
"107" 0.31262176 -0.09042852
"108" -0.70741094 0.8466785
"109" 0.98359913 -0.29800868
"110" -0.35932275 0.14738887
"111" 0.02796159 -0.54503199
"112" 0.66111975 0.52266741
"113" -0.6153722 -0.6124405
"114" 0.5363085 0.1085739
"115" -0.4454206 0.1907751
"116" 0.1128773 -0.5547452
"117" -0.6269937 0.6426069
"118" 0.6499614 0.6093539
"119" 1 -0.4789088
"120" -0.6278682 0.03228484
"121" 0.1849045 -0.15526491
"122" -0.52702312 0.54120499
"123" -0.01211028 0.72476341
"124" -0.61873047 -0.6185629
"125" 1 -0.58840514
"126" 1 -0.16771176
"127" -0.62248602 -0.62067261
"128" 0.11959703 -0.54897243
"129" -0.62936577 0.03152992
"130" 1 -0.14956859
"131" 0.92119479 -0.53124704
"132" -0.52444238 0.53894089
"133" -0.01122903 0.72571125
"134" -0.62307902 -0.61757564
"135" 0.21676677 -0.10833368
"136" 1 0.62542157
"137" 0.56828883 0.4838639
"138" -0.48510136 0.32064475
"139" 0.05862979 -0.61957823
"140" -0.0548817 0.70058866
"141" -1 -0.67688172
"142" 0.57310208 0.4836229
"143" -0.48380831 0.35885678
"144" 0.09578127 -0.57321497
"145" -0.0272153 0.71151892
"146" -0.57195016 -0.58994172
"147" 1 0.62749598
"148" -0.61673725 -0.61538662
"149" 0.53183302 0.10277049
"150" -0.4251727 0.5026559
"151" 1 -0.42689124
"152" 0.10723962 -0.56146268
"153" 0.65082062 0.61029619
"154" -0.63588774 0.02727631
"155" -0.50287836 0.52005075
"156" -0.63138738 0.0260801
"157" 0.11360314 -0.55290149
"158" -0.01564035 0.72233574
"159" 1 -0.47202622
"160" 0.62128223 0.56295658
"161" -0.61510218 -0.61302908
"162" -0.60439937 -0.618006035
"163" -0.446871306 0.197538468
"164" -1 -0.003223221
"165" -0.627756166 0.662668146
"166" 0.625712278 0.564782874
"167" -0.078666828 0.678989093
"168" 0.109334722 -0.561993738
"169" -0.61565195 -0.61325233
"170" 0.10245175 -0.5668334
"171" 1 -0.59426343
"172" 0.61727999 0.56472218
"173" -0.41981324 0.49487321
"174" 1 -0.16642318
"175" -0.63953285 0.02332532
"176" -0.62144377 -0.61973568
"177" -0.10198696 0.66156205
"178" 0.08905539 -0.59407846
"179" -0.5366136 0.14512551
"180" -0.64157157 0.65158051
"181" 1 -0.42814048
"182" 0.63065887 0.5719661
"183" -0.669917794 0.002360982
"184" -0.31734834 0.383690682
"185" 0.537952045 0.094131966
"186" 0.654892349 0.60955889
"187" 0.104350472 -0.573171994
"188" -0.617578431 -0.617083533
"189" -0.688760249 0.683031014
"190" -0.309317554 0.3487036
"191" 0.1901282 -0.109261396
"192" -0.674147476 0.669833625
"193" 0.640129546 0.573547224
"194" -0.674902984 0.002889392
"195" 1 -0.435861094
"196" 0.06097604 -0.619846635
"197" -0.62110023 -0.6202623
"198" 0.5231193 0.08750503
"199" -0.66596976 0.02067948
"200" -0.44773463 0.51905534
"201" 0.66593799 0.61423199
"202" -0.68066116 1
"203" 0.10271458 -0.59437002
"204" -1 -0.67288175
"205" 0.55355547 0.10414224
"206" 0.64886108 0.60882244
"207" -0.4631729 0.3183493
"208" -0.04624523 0.70970508
"209" -0.56829863 -0.58168175
"210" 1 -0.41284669
"211" -0.6194067 -0.617151
"212" -0.1743426 0.6034835
"213" -0.6655521 0.6556138
"214" -0.5521818 0.132674
"215" 0.6081114 0.517259
"216" 0.6769824 1
"217" 0.1103339 -0.5672052
"218" -0.6960626 -0.02142485
"219" 0.10643576 -0.5819871
"220" -0.6061706 0.61645542
"221" 0.53501623 0.08979655
"222" 0.6642021 0.61359344
"223" -0.62768282 -0.62984946
"224" -0.30299047 0.2644631
"225" -0.63864385 -0.63303531
"226" 0.68074225 0.63186595
"227" 0.03578621 -0.64871232
"228" -0.65329145 0.03617891
"229" -0.47826744 0.53448485
"230" 0.58513273 0.13006047
"231" 0.1863914 -0.1510421
"232" -0.62125715 -0.61990981
"233" 0.68558031 1
"234" 1 -0.43573468
"235" 0.08411511 -0.61779808
"236" -0.46580217 0.53095553
"237" -0.66117779 0.02393128
"238" 0.61317383 0.52866955
"239" -0.62974463 -0.62833099
"240" -0.64753638 0.65987317
"241" 1 -0.43651806
"242" 0.63990644 0.58648712
"243" -0.57447346 0.12877644
"244" 0.08526929 -0.62412154
"245" -0.08469284 0.67847999
"246" -0.62489587 -0.62133796
"247" 0.17554208 -0.14616463
"248" 0.66462721 0.62332215
"249" -0.64281508 0.02812915
"250" -0.44054105 0.50798616
"251" 0.03722903 -0.63726273
"252" 0.57258799 0.12933759
"253" -0.65319827 -0.64947695
"254" -0.57095567 0.15610329
"255" 0.06348627 -0.65611717
"256" 0.67051721 0.5868387
"257" -0.68842269 0.69299303
"258" -0.15248328 0.66418507
"259" 0.24651617 -0.14574698
"260" 1 -0.39773712
"261" -0.65490686 0.02829363
"262" 0.54865293 0.10649273
"263" 0.65922336 0.62105751
"264" 0.06452011 -0.62347197
"265" -0.48996781 0.54088618
"266" -0.61879636 -0.61698084
"267" 1 -0.369245914
"268" -0.406488204 0.566315811
"269" 0.626052929 0.56677224
"270" -0.600848113 -0.61398119
"271" 0.673626495 -0.741026476
"272" -0.543409433 0.091601883
"273" -1 -0.001005672
"274" -0.61802149 -0.61465838
"275" -0.44973397 0.51670461
"276" -0.65456353 0.0223728
"277" 1 -0.37985676
"278" 0.66973669 -0.74096399
"279" 0.62821696 0.56837124
"280" 0.08631367 -0.6044561
"281" 0.04001201 -0.64047376
"282" -0.64283449 0.04373636
"283" 0.67217761 0.62873681
"284" 0.1561259 -0.13221657
