"V1" "V2"
"1" -1 1
"2" -1 -1
"3" 1 1
"4" 0.3467992 1
"5" 0.3199571 -1
"6" -1 -0.3396831
"7" 0.139262 0.3306474
"8" -0.263659 -0.2568066
"9" -0.3362331 1
"10" 1 -1
"11" 1 0.2395765
"12" 0.594365 -0.3401126
"13" -1 0.3355615
"14" -0.3472483 -1
"15" -0.639707811561136 0.0229097130319928
"16" 0.648666715749318 0.608576378189975
"17" -0.424539081147007 0.496090950294398
"18" 0.100992495799115 -0.567944961523348
"19" 1 -0.453670537945842
"20" 0.534821890248916 0.108110936178368
"21" -0.615791356941347 -0.61323394342572
