"slope" "angle" "top.layer3" "bot.layer3" "vs2" "vs3" "vs4" "density" "freq" "y.hat.Combined" "Quant.Combined" "LL.Combined" "UL.Combined" "y.hat.single" "LL.single" "UL.single" "y.hat.CGP" "LL.CGP" "UL.CGP" "y.true"
"1" -1.05860059981555 -1.47658061452627 -0.290972465440554 -1.03237275941761 0.357869075898629 -0.543142338923275 1.43858134690258 0.344806377683303 0.267098646622499 3.45212935719359 0.458 -1.95339026356605 8.90829426515128 3.18358203459471 -0.586794008545333 6.95395807773474 2.01710538813922 -0.592437632210164 4.6266484084886 4.81372651423313
"2" -1.05860059981555 -1.47658061452627 -0.290972465440554 1.27747306650122 0.323402247824024 -0.518369598265429 1.12599085543508 -0.264823002944885 0.267098646622499 3.50179207713422 0.5 -2.56852145742152 8.84985834576152 2.35013646355368 -0.47450459897789 5.17477752608524 2.41230813196376 0.192646801696774 4.63196946223075 2.33761134142695
"3" -1.05860059981555 -0.558499403421853 -0.290972465440554 -0.647398455097806 0.371655807128471 1.59439128355373 0.840003810049914 -1.48408176420126 -0.465883369355819 5.09441582169849 0.511 -0.436147035592364 10.3638236939936 6.59888143478352 4.54770611144291 8.65005675812412 5.65168530778948 3.96111059237614 7.34226002320283 6.15653301268306
"4" -1.05860059981555 -0.558499403421853 -0.290972465440554 0.122550153541805 0.337188979053866 1.32896906221967 0.56731848770592 1.56406513893968 0.267098646622499 3.58315551553735 0.515 -1.53206173520638 9.31881483373162 1.82622650778661 -0.449367550897704 4.10182056647093 1.33812369696164 -0.975765505405938 3.65201289932922 2.77387444471221
"7" -1.05860059981555 0.971635948418841 -0.290972465440554 -1.41734706373742 0.247575226059892 -0.11492782183765 -0.137672833476114 0.344806377683303 1.73306267857914 1.28620202145953 0.49 -3.72689255352498 6.75052380934785 1.08461547547863 -0.327343028891106 2.49657397984837 1.21434235288931 0.0573536122074556 2.37133109357116 1.29445380915949
"8" -1.05860059981555 0.971635948418841 -0.290972465440554 0.892498762181415 0.220001763600207 -0.086616118228683 -0.343849540614256 -0.264823002944885 2.46604469455745 0.799643805280453 0.469 -4.37727138173928 6.57429398306647 0.844683407879969 -2.73500589423421 4.42437270999415 -1.23725188664495 -5.49417142966846 3.01966765637856 0.259294242204279
"9" -1.05860059981555 0.359581807682563 -0.290972465440554 0.122550153541805 0.419909366432919 -1.28278559570754 -0.536724524711228 0.954435758311492 -1.19886538533414 3.38127009913076 0.491 -1.38771312622766 8.49458498424901 5.48785467937231 2.73434980329149 8.24135955545314 5.02240072647599 3.42681385442281 6.61798759852917 4.85268562983867
"10" -1.05860059981555 0.359581807682563 -0.290972465440554 -0.647398455097806 0.385442538358314 -1.18369463307615 -0.716297785767029 -1.48408176420126 -0.465883369355819 4.11899250448446 0.503 -1.55033782608118 9.70238790570876 6.71340653757653 4.15226297482766 9.2745501003254 6.8502336747629 4.55957042814255 9.14089692138325 3.90104358315279
"15" -1.05860059981555 -0.558499403421853 -0.290972465440554 0.50752445786161 0.309615516594181 0.783968767747051 -1.4478925530314 1.56406513893968 1.00008066260082 3.43115899455627 0.526 -2.60681484200378 8.86594802957965 2.82874457267601 -1.79932681803531 7.45681596338734 2.71204841545953 -0.647648977004481 6.07174580792355 0.0685150420214017
"16" -1.05860059981555 -0.558499403421853 -0.290972465440554 -0.262424150778001 0.282042054134497 0.953838989400853 -1.56095719888135 -0.874452383573074 1.00008066260082 3.61788163214053 0.501 -1.43915520155065 8.7470236775807 3.90459407907464 3.01998353366755 4.78920462448173 3.74034618103618 1.51168962494822 5.96900273712414 0.663824858914628
