"m" "Tin" "k" "Twall" "ya"
"1" 0.104 0.675336458490851 0.724942306492858 0.832714285714286 25.61
"2" 0.114 0.624678663239075 0.597954219422441 0.678428571428572 23.24
"3" 0.132 0.55799183426584 0.40111021019148 0.532428571428571 21.23
"4" 0.156 0.805988205050658 0.971309174826919 0.196 11.44
"5" 0.16 0.353697262966883 0.0580677352959521 0.0521428571428568 15.03
"6" 0.178 0.442915469529715 0.145824237510135 0.311857142857143 18.55
"7" 0.188 0.463783456827461 0.34996569575251 0.430428571428571 20.74
"8" 0.206 0.724028428852261 0.753134160793363 0.992142857142857 28.4
"9" 0.224 0.483290488431876 0.555915923407971 0.924571428571429 30.22
"10" 0.23 0.7774081354907 0.426245867897461 0.082714285714286 9.53
"11" 0.252 0.544684711931045 0.923470342418761 0.318428571428572 18.13
"12" 0.254 0.585664600030244 0.259215368302875 0.750571428571429 25.02
"13" 0.278 0.326326931800998 0.242063244558099 0.168714285714286 17.92
"14" 0.286 0.412823226977166 0.0909998128859228 0.594285714285715 24.2
"15" 0.304 0.743535460456677 0.63344352273436 0.451142857142857 17.47
"16" 0.314 0.686072886738243 0.799787937379155 0.650428571428571 22.48
"17" 0.338 0.717677302283381 0.877939250296264 0.797285714285714 25.07
"18" 0.34 0.819597761983971 0.742281544314851 0.578285714285715 18.93
"19" 0.366 0.577347648570997 0.155367055448138 0.403428571428572 18.61
"20" 0.378 0.360350824134281 0.36493482192977 0.362428571428571 21.31
"21" 0.388 0.445788598215636 0.0648038420757187 0.660571428571429 25.11
"22" 0.396 0.433237562377136 0.604939811638495 0.12 16.02
"23" 0.422 0.656131861484954 0.442275307178943 0.893428571428572 27.47
"24" 0.428 0.517314380765159 0.650470903760993 0.204857142857142 16.43
"25" 0.444 0.418267049750491 0.943990519553421 0.634428571428572 26.5
"26" 0.46 0.554060184485105 0.0956776648163164 0.770285714285714 25.88
"27" 0.476 0.697716618781188 0.577683527724069 0.246 14.37
"28" 0.482 0.33388779676395 0.454001122684463 0.383857142857143 22.36
"29" 0.502 0.591562074701346 0.771034740847003 0.344 18.17
"30" 0.514 0.782851958264025 0.203517744651656 0.881142857142857 14.37
"31" 0.526 0.66460003024346 0.327075406973118 0.619714285714286 21.96
"32" 0.544 0.45455920157266 0.619659452379467 0.0221428571428573 14.02
"33" 0.564 0.771057008921821 0.720014969126177 0.263 13.68
"34" 0.572 0.40284288522607 0.279985030873823 0.145571428571429 16.82
"35" 0.582 0.344321790412823 0.514438969625148 0.501285714285714 25.06
"36" 0.6 0.643429608347195 0.867460861972182 0.408428571428571 18.83
"37" 0.606 0.492968395584455 0.188610989833468 0.849428571428571 28.69
"38" 0.628 0.5673673068199 0.857730929956964 0.034285714285714 12.68
"39" 0.646 0.599727808861333 0.0321212499220358 0.907 27.96
"40" 0.656 0.732799032209284 0.484812574065989 0.712285714285715 23.17
"41" 0.672 0.616210494480569 0.905943990519553 0.0777142857142857 12.79
"42" 0.684 0.688341146227128 0.00654899270255088 0.229285714285714 13.75
"43" 0.702 0.375623771359443 0.703985529844695 0.730571428571428 29.08
"44" 0.714 0.502797520036292 0.373604440840766 0.287142857142857 18.25
"45" 0.73 0.385301678512022 0.828042163038733 0.461428571428572 23.89
"46" 0.74 0.709057916225616 0.219859040728497 0.517857142857143 19.36
"47" 0.748 0.508543777408136 0.317158360880684 0.948 30.9
"48" 0.764 0.761379101769243 0.536705544813821 0.786714285714286 24.45
"49" 0.782 0.371389686980191 0.833530842637061 0.813571428571428 31.05
"50" 0.802 0.803719945561772 0.294205700742219 0.747571428571428 22.64
"51" 0.806 0.535006804778467 0.55198652778644 0.499857142857143 22.22
"52" 0.822 0.47331014668078 0.953907565645855 0.571857142857143 25.03
"53" 0.84 0.423710872523817 0.675668932826046 0.968285714285714 33.27
"54" 0.858 0.752759715711477 0.0187114077215743 0.271714285714285 13.67
"55" 0.868 0.604717979736882 0.393750389820994 0.136285714285715 13.89
"56" 0.886 0.663843943747164 0.178444458304746 0.00271428571428568 10.16
"57" 0.894 0.525480114925147 0.128173142892784 0.695142857142858 25.48
"58" 0.912 0.62694692272796 0.689640117258155 0.556571428571428 22.22
"59" 0.928 0.338121881143203 0.90812698808707 0.978857142857143 35.05
"60" 0.936 0.73990624527446 0.262583421692759 0.105857142857143 10.99
"61" 0.958 0.640254045062755 0.503336867710347 0.337142857142857 17.45
"62" 0.97 0.795856646000302 0.11208133225223 0.474285714285714 17.14
"63" 0.974 0.48752457281113 0.792428117008669 0.176 16.95
"64" 0.992 0.395282020263118 0.473211501278613 0.862142857142857 31.35
