"alpha1" "beta1" "alpha2" "beta2"
"1" 3 1 3 20
"2" 3 1 3 22
"3" 3 1 3 24
"4" 3 1 3 26
"5" 3 1 3 28
"6" 3 1 3 30
"7" 3 1 3 32
"8" 3 1 3 34
"9" 3 1 3 36
"10" 3 1 3 38
"11" 3 1 3 40
"12" 3 1 3 42
"13" 3 1 3 44
"14" 3 1 3 46
"15" 3 1 3 48
"16" 3 1 3 50
"17" 3 1 4 30
"18" 3 1 4 33
"19" 3 1 4 36
"20" 3 1 4 39
"21" 3 1 4 42
"22" 3 1 4 45
"23" 3 1 4 48
"24" 3 1 4 51
"25" 3 1 4 54
"26" 3 1 4 57
"27" 3 1 4 60
"28" 3 1 4 63
"29" 3 1 4 66
"30" 3 1 4 69
"31" 3 1 4 72
"32" 3 1 4 75
"33" 3 1 5 40
"34" 3 1 5 44
"35" 3 1 5 48
"36" 3 1 5 52
"37" 3 1 5 56
"38" 3 1 5 60
"39" 3 1 5 64
"40" 3 1 5 68
"41" 3 1 5 72
"42" 3 1 5 76
"43" 3 1 5 80
"44" 3 1 5 84
"45" 3 1 5 88
"46" 3 1 5 92
"47" 3 1 5 96
"48" 3 1 5 100
"49" 4 1.5 3 20
"50" 4 1.5 3 22
"51" 4 1.5 3 24
"52" 4 1.5 3 26
"53" 4 1.5 3 28
"54" 4 1.5 3 30
"55" 4 1.5 3 32
"56" 4 1.5 3 34
"57" 4 1.5 3 36
"58" 4 1.5 3 38
"59" 4 1.5 3 40
"60" 4 1.5 3 42
"61" 4 1.5 3 44
"62" 4 1.5 3 46
"63" 4 1.5 3 48
"64" 4 1.5 3 50
"65" 4 1.5 4 30
"66" 4 1.5 4 33
"67" 4 1.5 4 36
"68" 4 1.5 4 39
"69" 4 1.5 4 42
"70" 4 1.5 4 45
"71" 4 1.5 4 48
"72" 4 1.5 4 51
"73" 4 1.5 4 54
"74" 4 1.5 4 57
"75" 4 1.5 4 60
"76" 4 1.5 4 63
"77" 4 1.5 4 66
"78" 4 1.5 4 69
"79" 4 1.5 4 72
"80" 4 1.5 4 75
"81" 4 1.5 5 40
"82" 4 1.5 5 44
"83" 4 1.5 5 48
"84" 4 1.5 5 52
"85" 4 1.5 5 56
"86" 4 1.5 5 60
"87" 4 1.5 5 64
"88" 4 1.5 5 68
"89" 4 1.5 5 72
"90" 4 1.5 5 76
"91" 4 1.5 5 80
"92" 4 1.5 5 84
"93" 4 1.5 5 88
"94" 4 1.5 5 92
"95" 4 1.5 5 96
"96" 4 1.5 5 100
"97" 4 1.5 6 50
"98" 4 1.5 6 55
"99" 4 1.5 6 60
"100" 4 1.5 6 65
"101" 4 1.5 6 70
"102" 4 1.5 6 75
"103" 4 1.5 6 80
"104" 4 1.5 6 85
"105" 4 1.5 6 90
"106" 4 1.5 6 95
"107" 4 1.5 6 100
"108" 4 1.5 6 105
"109" 4 1.5 6 110
"110" 4 1.5 6 115
"111" 4 1.5 6 120
"112" 4 1.5 6 125
"113" 5 2 3 20
"114" 5 2 3 22
"115" 5 2 3 24
"116" 5 2 3 26
"117" 5 2 3 28
"118" 5 2 3 30
"119" 5 2 3 32
"120" 5 2 3 34
"121" 5 2 3 36
"122" 5 2 3 38
"123" 5 2 3 40
"124" 5 2 3 42
"125" 5 2 3 44
"126" 5 2 3 46
"127" 5 2 3 48
"128" 5 2 3 50
"129" 5 2 4 30
"130" 5 2 4 33
"131" 5 2 4 36
